Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,40.986717,43.889942,40.180267,43.861481,35.950439,507886765
2018-12-01,43.994308,44.089184,38.349148,41.413662,34.206062,565803643
2019-01-01,40.910816,41.461102,37.447819,40.275143,33.265694,631956054
2019-02-01,40.673622,41.537003,39.098671,41.129032,34.267658,450906154
2019-03-01,41.375713,41.546490,38.273247,40.294117,33.572033,554205954
2019-04-01,40.398483,41.062618,36.451614,38.529411,32.101730,486234339
2019-05-01,38.510437,40.303604,37.827324,39.392788,32.821072,552863473
2019-06-01,39.497154,42.020874,39.440228,41.100571,34.547657,461187921
2019-07-01,41.280834,42.277039,36.537003,36.850094,30.974865,590900013
2019-08-01,36.347248,36.641365,32.229603,33.728653,28.351091,641234099
2019-09-01,33.785580,35.825428,33.690701,34.089184,28.922220,443911600
2019-10-01,34.089184,36.831120,32.827324,36.404175,30.886322,407113297
2019-11-01,36.707779,36.944973,34.440228,36.546490,31.007059,446281096
2019-12-01,36.802658,37.590134,35.853889,37.172676,31.843140,387120076
2020-01-01,37.286530,38.870968,34.810246,35.332069,30.266422,531835964
2020-02-01,35.540798,36.593929,30.863379,31.707781,27.439215,586886279
2020-03-01,32.172676,34.592030,26.451612,30.967743,26.798807,1019616939
2020-04-01,30.284630,37.210625,29.914612,36.394688,31.495161,533383339
2020-05-01,35.910816,37.011387,34.715370,36.233398,31.355589,474627691
2020-06-01,33.681213,34.781784,29.990513,31.024668,27.115631,811003042
2020-07-01,32.770397,37.428844,31.404175,36.508537,31.908545,824072643
2020-08-01,36.631878,37.096775,35.483871,35.853889,31.642654,470078941
2020-09-01,35.853889,35.882355,33.567364,34.819733,30.729959,510247724
2020-10-01,35.018974,36.859585,32.827324,33.662239,29.708424,555231707
2020-11-01,34.089184,39.838711,33.719166,38.310001,33.810280,1091575597
2020-12-01,39.400002,43.080002,36.290001,36.810001,32.820560,1161346900
2021-01-01,36.869999,37.830002,35.619999,35.900002,32.009186,689094500
2021-02-01,35.930000,36.189999,33.360001,33.490002,30.185223,665243900
2021-03-01,33.590000,36.740002,33.439999,36.230000,32.654835,675588700
2021-04-01,36.299999,39.669998,35.759998,38.650002,34.836033,558679000
2021-05-01,39.040001,41.090000,37.959999,38.730000,34.908138,615262500
2021-06-01,38.939999,40.720001,38.480000,39.160000,35.643490,485677900
2021-07-01,39.169998,43.740002,38.930000,42.810001,38.965736,525510400
2021-08-01,43.299999,51.860001,43.250000,46.070000,42.312782,1008466500
2021-09-01,46.189999,47.500000,42.430000,43.009998,39.502335,544666400
2021-10-01,42.520000,43.830002,40.939999,43.740002,40.172806,471555700
2021-11-01,44.139999,55.700001,43.049999,53.730000,49.348068,1010245500
2021-12-01,52.470001,61.709999,50.400002,59.049999,54.710258,1064029400
2022-01-01,58.500000,58.549999,49.820000,52.689999,48.817669,778212000
2022-02-01,52.740002,54.130001,45.400002,46.939999,43.820908,634804800
2022-03-01,46.689999,55.299999,45.439999,51.770000,48.329975,718106000
2022-04-01,52.119999,56.320000,47.119999,49.070000,45.809383,482896600
2022-05-01,47.680000,54.919998,47.459999,53.040001,49.515583,583220400
2022-06-01,53.250000,54.560001,46.279999,52.430000,49.345264,449186100
2022-07-01,52.040001,53.919998,49.099998,50.509998,47.538235,340227500
2022-08-01,50.320000,51.470001,45.130001,45.230000,42.899193,411896600
2022-09-01,45.139999,48.349998,43.520000,43.759998,41.504944,376670300
2022-10-01,44.070000,47.520000,41.450001,46.549999,44.151173,466825100
2022-11-01,48.000000,50.130001,46.160000,50.130001,47.546692,419484600
2022-12-01,50.310001,54.930000,49.180000,51.240002,49.016022,423156900
2023-01-01,51.009998,51.599998,42.700001,44.160000,42.243320,522769000
2023-02-01,43.910000,44.459999,40.090000,40.570000,39.165421,403988700
2023-03-01,40.560001,41.259998,39.230000,40.799999,39.387459,504067700
2023-04-01,40.689999,42.220001,38.310001,38.889999,37.543587,387634200
2023-05-01,39.000000,40.139999,36.169998,38.020000,36.703705,678001500
2023-06-01,38.119999,40.369999,35.759998,36.680000,35.793262,562599000
2023-07-01,36.500000,37.799999,35.349998,36.060001,35.188251,441618300
2023-08-01,35.880001,37.189999,34.660000,35.380001,34.909340,537100000
2023-09-01,35.639999,36.290001,31.770000,33.169998,32.728737,554558100
2023-10-01,32.950001,34.110001,29.700001,30.559999,30.153458,681377500
