as_of,B00670,B00739,B00810,B00838,B05548,B05754,B06390,B07260,B08348,B08441,B08489,B08495,B09419,B11317,B11780,B14078,B14771,B15191,B15503,B16441,B16476,B17301,B17945,B17949,B18527,B18618,B18691,B19390,B19480,B20591,B20796,B21691,B21717,B21793,B21967,B22099,B22102,B22198,B22568,B22672,B23377,B23749,B23827,B23868,B24063,B24413,B24848,B24891,B25164,B25810
2001-09-15,21.0998,94.4154,10.8366,9.23972,26.5176,14.3917,13.8348,12.1453,104.494,18.1827,82.2312,26.5678,113.193,7.61,28.6483,13.2885,36.8579,16.5741,43.1232,164.031,12.5866,25.7265,10.2599,15.752,7.05826,77.7607,18.3729,18.7739,22.9317,18.6737,34.5716,14.4341,24.1907,93.4134,9.29393,171.407,156.623,14.5699,17.1059,16.4545,19.2043,11.1273,36.5508,36.7733,13.5908,21.5085,15.7712,13.9065,6.60215,16.1961
2001-09-16,21.0998,94.4154,10.8366,9.23972,26.5176,14.3917,13.8348,12.1453,104.494,18.1827,82.2312,26.5678,113.193,7.61,28.6483,13.2885,36.8579,16.5741,43.1232,164.031,12.5866,25.7265,10.2599,15.752,7.05826,77.7607,18.3729,18.7739,22.9317,18.6737,34.5716,14.4341,24.1907,93.4134,9.29393,171.407,156.623,14.5699,17.1059,16.4545,19.2043,11.1273,36.5508,36.7733,13.5908,21.5085,15.7712,13.9065,6.60215,16.1961
2001-09-17,21.0998,93.9934,10.7242,9.07955,25.2225,13.6661,13.0802,11.9081,101.108,18.2459,82.2938,25.8598,111.349,6.99,28.7264,12.8121,36.1457,16.6413,40.9798,163.929,11.7766,24.5408,9.73148,15.7976,6.67564,74.0548,18.4948,18.8127,22.0412,17.5866,34.4022,13.6999,22.7268,88.4219,8.37146,165.648,148.965,14.5264,17.1059,16.058,18.4026,10.8529,34.8723,36.904,12.9324,21.0698,15.0872,13.2493,6.0615,15.7809
2001-09-18,21.0998,92.9385,10.6793,9.04952,25.0716,13.4171,12.8286,11.942,100.224,18.1985,82.1058,25.9306,111.718,7.02,28.6521,12.8778,35.8489,16.6444,40.5765,162.914,11.6623,24.7298,9.5847,15.7557,6.61523,73.3137,18.4631,18.7351,22.3529,17.393,34.4022,13.6331,22.4523,87.4414,8.35993,163.659,150.7,14.3599,16.7119,15.9872,18.111,10.7905,34.6749,36.8059,12.7212,21.3528,14.8958,13.4202,6.03031,15.8541
2001-09-19,21.0998,92.9912,10.6343,9.05953,24.6693,13.0922,12.5066,11.9249,99.1939,18.0642,81.9178,25.9542,111.964,7.13,28.5583,12.8943,35.6708,16.7117,39.8762,163.305,11.6104,24.472,9.39389,15.7137,6.56489,72.0784,18.5184,18.6597,22.2044,17.1399,34.3458,13.6331,21.9583,86.0152,8.40605,160.204,148.846,14.3934,16.4801,15.7323,17.8195,10.7281,34.122,36.7078,12.4728,21.2396,14.6222,13.2756,6.04071,15.8786
2001-09-20,21.0998,92.411,10.5781,8.72918,23.9023,12.6374,12.0337,11.8565,98.6051,17.456,81.6045,25.6946,110.858,7.03,28.5036,12.7464,35.2554,16.6506,38.4968,162.551,11.2885,23.9564,9.02694,15.6864,6.26282,69.7932,18.5307,18.5715,21.7146,16.5442,34.4211,13.1826,21.2446,83.1629,8.19849,156.225,144.598,14.3192,16.2946,15.5624,17.3458,10.6034,32.9767,36.6438,12.0131,20.8859,14.1024,12.947,5.87436,15.7076
2001-09-21,21.0998,92.1473,10.4657,8.47892,23.4496,12.3883,11.7621,11.6854,98.076,16.9031,81.6358,25.5024,109.752,6.69,28.4565,12.5986,34.8993,16.6537,37.9662,162.637,11.0911,23.6471,8.82145,15.6628,5.99096,68.4961,18.5401,18.5654,21.4178,16.3506,34.4963,12.7654,20.9153,81.6476,7.95634,155.492,141.547,14.3274,16.086,15.3358,17.0178,10.4786,32.3843,36.614,11.7646,20.6139,13.8425,12.7104,5.7288,15.561
2001-09-22,21.0998,92.1473,10.4657,8.47892,23.4496,12.3883,11.7621,11.6854,98.076,16.9031,81.6358,25.5024,109.752,6.69,28.4565,12.5986,34.8993,16.6537,37.9662,162.637,11.0911,23.6471,8.82145,15.6628,5.99096,68.4961,18.5401,18.5654,21.4178,16.3506,34.4963,12.7654,20.9153,81.6476,7.95634,155.492,141.547,14.3274,16.086,15.3358,17.0178,10.4786,32.3843,36.614,11.7646,20.6139,13.8425,12.7104,5.7288,15.561
2001-09-23,21.0998,92.1473,10.4657,8.47892,23.4496,12.3883,11.7621,11.6854,98.076,16.9031,81.6358,25.5024,109.752,6.69,28.4565,12.5986,34.8993,16.6537,37.9662,162.637,11.0911,23.6471,8.82145,15.6628,5.99096,68.4961,18.5401,18.5654,21.4178,16.3506,34.4963,12.7654,20.9153,81.6476,7.95634,155.492,141.547,14.3274,16.086,15.3358,17.0178,10.4786,32.3843,36.614,11.7646,20.6139,13.8425,12.7104,5.7288,15.561
2001-09-24,21.0998,92.1473,10.5106,8.66912,24.3675,12.854,12.2048,11.617,98.9803,17.5745,81.5835,25.58,109.506,6.7,28.4408,12.615,35.0773,16.6568,39.7064,162.536,11.2781,23.7846,9.17372,15.6538,6.25275,71.2755,18.5257,18.5418,21.5365,16.9611,34.3834,13.1659,21.5923,84.4999,8.06012,158.685,144.119,14.284,16.0397,15.5199,17.5644,10.566,33.6086,36.6263,12.1498,20.7284,14.2802,12.7893,5.85356,15.5366
2001-09-25,21.0998,92.1473,10.5106,8.61906,24.5788,12.9352,12.2752,11.617,98.5595,17.7799,81.4684,25.5869,109.137,6.75,28.386,12.5822,34.8993,16.7241,40.046,162.825,11.2261,24.0939,9.23243,15.6264,6.37358,72.2637,18.5639,18.5053,21.8373,17.0207,34.4587,13.4495,21.7021,84.5891,8.014,158.999,146.632,14.2714,16.086,15.534,17.6373,10.5535,33.885,36.5624,12.1994,20.9431,14.3486,12.9864,5.79118,15.5366
2001-09-26,21.0998,92.4242,10.4218,8.64909,24.4653,12.7509,12.0639,11.5998,97.9921,17.851,81.4788,25.4049,108.031,6.73,28.3898,12.4508,34.6025,16.7914,40.1096,163.115,11.1846,24.4548,9.08565,15.6283,6.32324,71.6461,18.5845,18.5076,22.1532,16.8718,34.6469,13.4662,21.4642,83.876,8.014,158.685,148.606,14.3203,16.0629,15.4774,17.3822,10.5398,33.8455,36.5667,12.0504,21.1579,14.2255,13.1836,5.80158,15.39
2001-09-27,21.0998,92.4772,10.4218,8.65911,24.7427,12.8593,12.1142,11.4972,98.0133,18.0168,81.5517,25.4588,108.4,6.72,28.4131,12.4672,34.4244,16.7945,40.5765,163.535,11.2054,24.6439,9.15904,15.6448,6.29303,72.3255,18.6052,18.5487,22.3487,17.0356,34.741,13.4996,21.7021,84.8565,8.00247,160.832,149.444,14.3692,15.9933,15.4774,17.528,10.5146,34.2082,36.571,12.2616,21.3583,14.458,13.2887,5.80158,15.39
2001-09-28,17.6564,92.5831,10.4446,8.79925,25.285,13.1846,12.4966,11.5656,98.3636,18.3644,81.7176,25.7386,108.523,6.81,28.5336,12.7236,34.6501,16.8451,41.383,163.968,11.3508,25.0735,9.43792,15.6942,6.47427,73.9313,18.5971,18.6033,22.6946,17.4377,34.6469,13.7666,22.3059,87.2631,8.12931,164.549,152.196,14.4134,16.0049,15.5624,17.8559,10.502,34.9789,36.6268,12.5721,21.7018,14.8,13.5234,5.91594,15.561
2001-09-29,17.6564,92.5831,10.4446,8.79925,25.285,13.1846,12.4966,11.5656,98.3636,18.3644,81.7176,25.7386,108.523,6.81,28.5336,12.7236,34.6501,16.8451,41.383,163.968,11.3508,25.0735,9.43792,15.6942,6.47427,73.9313,18.5971,18.6033,22.6946,17.4377,34.6469,13.7666,22.3059,87.2631,8.12931,164.549,152.196,14.4134,16.0049,15.5624,17.8559,10.502,34.9789,36.6268,12.5721,21.7018,14.8,13.5234,5.91594,15.561
2001-09-30,17.6564,92.5831,10.4446,8.79925,25.285,13.1846,12.4966,11.5656,98.3636,18.3644,81.7176,25.7386,108.523,6.81,28.5336,12.7236,34.6501,16.8451,41.383,163.968,11.3508,25.0735,9.43792,15.6942,6.47427,73.9313,18.5971,18.6033,22.6946,17.4377,34.6469,13.7666,22.3059,87.2631,8.12931,164.549,152.196,14.4134,16.0049,15.5624,17.8559,10.502,34.9789,36.6268,12.5721,21.7018,14.8,13.5234,5.91594,15.561
2001-10-01,17.6564,92.6361,10.4104,8.73919,25.2219,12.9243,12.2954,11.5656,97.4864,18.2854,81.728,25.6262,109.383,6.83,28.5373,12.6738,34.6501,16.8482,41.4042,164.258,11.3611,25.1079,9.26179,15.6961,6.38365,73.746,18.6002,18.6055,22.7096,17.3483,34.8351,13.6832,22.1028,85.7478,8.09471,163.449,151.179,14.447,15.9815,15.4774,17.5644,10.4894,34.8406,36.6392,12.3485,21.6446,14.5675,13.51,5.89515,15.5366
2001-10-02,17.6564,92.795,10.4332,8.86933,25.5372,13.0653,12.4262,11.5143,97.3608,18.4671,81.9901,25.5616,108.768,6.87,28.6193,12.5909,34.5901,16.9159,41.7437,164.678,11.3508,24.9601,9.36453,15.7418,6.48434,74.549,18.6033,18.6856,22.5592,17.527,34.7786,13.7165,22.3775,86.8174,8.03706,165.02,150.336,14.4806,15.9815,15.4632,17.7102,10.4894,35.2556,36.7802,12.51,21.4585,14.7453,13.4433,5.84316,15.4877
2001-10-03,17.6564,92.3183,10.5357,9.17965,26.0416,13.5098,12.8488,11.463,97.2334,18.5461,82.3149,25.4493,108.768,6.87,28.7014,12.5411,34.5901,16.9186,42.9534,164.837,11.4027,24.5438,9.62874,15.7875,6.63537,76.9578,18.6063,18.7786,22.1832,18.0035,34.4775,13.7332,22.9818,89.2241,7.99094,167.324,150.095,14.5296,15.9347,15.4349,18.3661,10.4642,35.9077,36.8527,12.8827,21.0576,15.1146,13.203,5.85356,15.4633
2001-10-04,17.6564,92.9539,10.3991,9.10958,25.9786,13.5857,12.9695,11.4801,97.8471,18.9252,82.4511,25.242,107.908,6.96,28.7835,12.3918,34.5901,16.9214,42.7624,164.864,11.6104,24.8387,9.71681,15.8187,6.79647,77.0195,18.5919,18.8197,22.3787,18.0333,34.4775,14.067,23.0734,89.5806,8.12931,167.743,151.42,14.5168,16.0517,15.5199,18.439,10.502,35.8484,36.9595,12.9324,21.2724,15.142,13.3365,5.94714,15.3167
2001-10-05,17.6564,93.0068,10.3877,9.08956,26.029,13.5098,12.9292,11.4459,97.8677,18.9568,82.4615,25.2011,107.662,6.99,28.7946,12.3587,34.5302,16.9242,42.9958,165.076,11.5896,24.6999,9.67277,15.8242,6.83675,77.2666,18.6186,18.8263,22.3035,17.9886,34.4399,14.117,23.0367,89.3132,8.15237,166.695,151.48,14.5402,16.0751,15.4349,18.4754,10.502,35.9077,36.9636,12.8579,21.2008,15.0736,13.3098,5.95753,15.2679
2001-10-06,17.6564,93.0068,10.3877,9.08956,26.029,13.5098,12.9292,11.4459,97.8677,18.9568,82.4615,25.2011,107.662,6.99,28.7946,12.3587,34.5302,16.9242,42.9958,165.076,11.5896,24.6999,9.67277,15.8242,6.83675,77.2666,18.6186,18.8263,22.3035,17.9886,34.4399,14.117,23.0367,89.3132,8.15237,166.695,151.48,14.5402,16.0751,15.4349,18.4754,10.502,35.9077,36.9636,12.8579,21.2008,15.0736,13.3098,5.95753,15.2679
2001-10-07,17.6564,93.0068,10.3877,9.08956,26.029,13.5098,12.9292,11.4459,97.8677,18.9568,82.4615,25.2011,107.662,6.99,28.7946,12.3587,34.5302,16.9242,42.9958,165.076,11.5896,24.6999,9.67277,15.8242,6.83675,77.2666,18.6186,18.8263,22.3035,17.9886,34.4399,14.117,23.0367,89.3132,8.15237,166.695,151.48,14.5402,16.0751,15.4349,18.4754,10.502,35.9077,36.9636,12.8579,21.2008,15.0736,13.3098,5.95753,15.2679
2001-10-08,17.6564,93.1128,10.3763,9.13961,25.8146,13.4231,12.8488,11.4459,97.8877,18.9094,82.4719,25.2078,107.785,6.99,28.7983,12.3587,34.5901,16.927,42.4865,165.103,11.5792,24.7172,9.59938,15.826,6.89716,77.0813,18.6216,18.8285,22.2283,17.8248,34.4587,14.117,22.8536,88.7784,8.08318,165.23,151.42,14.5428,16.0985,15.5057,18.4026,10.5146,35.5915,36.9758,12.7461,21.2294,14.9368,13.243,5.92634,15.2923
2001-10-09,17.6564,92.5831,10.3193,9.08956,25.6759,13.2822,12.7381,11.4972,98.0571,18.6961,82.4822,25.2621,107.908,6.92,28.802,12.3918,34.5901,16.8653,42.0621,164.474,11.6935,24.7172,9.52599,15.8279,6.85688,76.2784,18.5896,18.8307,22.2885,17.7951,34.4963,14.0336,22.7621,88.511,8.22156,165.491,151.299,14.499,16.0985,15.4208,18.2568,10.5272,35.3939,36.9457,12.7461,21.3153,14.9231,13.2831,6.01991,15.3411
2001-10-10,17.6564,92.5831,10.3877,9.29978,26.2686,13.7484,13.1305,11.5485,98.5229,19.0121,82.4297,25.5067,108.768,6.86,28.7861,12.4914,34.5901,16.8681,43.102,164.633,11.8285,24.8387,9.81955,15.8151,7.0784,78.1313,18.5927,18.8199,22.4389,18.2716,34.327,14.1504,23.2748,90.6503,8.29074,169.889,153.286,14.5171,16.1219,15.534,18.6941,10.5272,36.1844,36.9498,13.0939,21.4585,15.2514,13.3632,6.09269,15.4633
2001-10-11,17.6564,92.3183,10.4902,9.45995,26.6596,14.0194,13.4524,11.617,99.2853,19.17,82.3143,25.7035,110.243,6.94,28.731,12.6075,34.71,16.8064,44.0145,164.135,12.0465,25.1682,10.0397,15.8023,7.33012,80.293,18.5607,18.7702,22.7096,18.629,34.0823,14.2672,23.7875,92.5221,8.4983,170.098,154.31,14.4734,16.2389,15.534,19.3136,10.5901,36.5994,36.8854,13.3796,21.6732,15.4839,13.4566,6.26944,15.6343
2001-10-12,17.6564,92.2124,10.4902,9.48998,26.5208,13.9219,13.3921,11.6341,99.4554,19.2096,82.3247,25.5675,109.629,7.0,28.7225,12.5411,34.71,16.8092,43.8235,164.479,11.9842,25.0468,9.98101,15.7932,7.36033,79.8607,18.5699,18.7768,22.6495,18.4801,34.1199,14.3506,23.4762,91.4525,8.47524,169.68,154.129,14.4813,16.2857,15.534,19.1314,10.6279,36.4018,36.8896,13.2678,21.6159,15.3198,13.4032,6.21746,15.561
2001-10-13,17.6564,92.2124,10.4902,9.48998,26.5208,13.9219,13.3921,11.6341,99.4554,19.2096,82.3247,25.5675,109.629,7.0,28.7225,12.5411,34.71,16.8092,43.8235,164.479,11.9842,25.0468,9.98101,15.7932,7.36033,79.8607,18.5699,18.7768,22.6495,18.4801,34.1199,14.3506,23.4762,91.4525,8.47524,169.68,154.129,14.4813,16.2857,15.534,19.1314,10.6279,36.4018,36.8896,13.2678,21.6159,15.3198,13.4032,6.21746,15.561
2001-10-14,17.6564,92.2124,10.4902,9.48998,26.5208,13.9219,13.3921,11.6341,99.4554,19.2096,82.3247,25.5675,109.629,7.0,28.7225,12.5411,34.71,16.8092,43.8235,164.479,11.9842,25.0468,9.98101,15.7932,7.36033,79.8607,18.5699,18.7768,22.6495,18.4801,34.1199,14.3506,23.4762,91.4525,8.47524,169.68,154.129,14.4813,16.2857,15.534,19.1314,10.6279,36.4018,36.8896,13.2678,21.6159,15.3198,13.4032,6.21746,15.561
2001-10-15,17.6564,92.3713,10.5016,9.49999,26.483,13.9544,13.4323,11.6854,99.4773,18.9489,82.3352,25.8357,110.858,6.94,28.7458,12.6573,34.77,16.8765,43.9084,164.899,11.9427,25.1856,10.0104,15.7951,7.21936,79.6136,18.6079,18.779,22.7547,18.4056,34.1764,14.1337,23.403,91.5416,8.41758,169.837,155.032,14.5304,16.3091,15.5057,19.0585,10.6279,36.4018,36.902,13.2306,21.7161,15.2924,13.4967,6.17587,15.7076
2001-10-16,17.6564,92.689,10.5244,9.43993,26.6722,14.0845,13.5833,11.7367,100.24,19.099,82.3455,26.0559,112.21,6.94,28.7495,12.8066,34.8299,16.9438,44.1631,165.451,12.0881,25.0641,10.1278,15.7969,7.42074,80.1695,18.6285,18.7812,22.5442,18.5396,34.2517,14.2505,23.6411,92.433,8.48677,170.727,153.406,14.5639,16.3091,15.5482,19.3865,10.6657,36.6389,36.9064,13.3796,21.5444,15.4292,13.3899,6.26944,15.903
2001-10-17,17.6564,92.795,10.4218,9.27976,26.1677,13.7701,13.2814,11.8223,100.113,19.2806,82.4188,26.1814,111.472,7.01,28.7532,12.8895,34.9498,16.9466,43.102,165.74,12.1193,24.908,9.87826,15.7988,7.57177,78.5636,18.6491,18.7705,22.4088,18.212,34.1952,14.5008,23.2015,91.0068,8.54442,169.104,152.142,14.5975,16.3325,15.5057,19.1314,10.6909,36.0461,36.9106,13.0318,21.4442,15.0736,13.3231,6.27984,16.0007
2001-10-18,17.6564,92.795,10.3877,9.35984,25.966,13.6508,13.1808,11.8052,100.284,19.0042,82.4292,26.0452,110.735,6.85,28.7569,12.8066,35.0097,16.9494,42.8685,165.636,11.9739,24.6652,9.80487,15.8153,7.42074,78.193,18.6521,18.7857,22.1682,18.0482,34.1199,14.2171,22.8902,90.2937,8.44064,167.167,150.938,14.6001,16.3559,15.4349,18.9492,10.7286,35.7496,36.8797,12.9076,21.2867,14.9231,13.2163,6.19667,15.8786
2001-10-19,17.6564,92.689,10.3991,9.41991,26.0795,13.8134,13.3116,11.8223,100.602,18.783,82.3766,26.2183,111.349,6.84,28.768,12.8729,34.8899,16.8877,43.1444,165.193,11.9842,24.4918,9.90762,15.8208,7.37039,78.5018,18.6438,18.7794,22.0028,18.0631,34.1764,14.0836,23.0367,90.472,8.4637,168.004,150.396,14.5926,16.3559,15.4916,19.0221,10.7412,35.9868,36.8838,13.0815,21.2151,15.0872,13.0962,6.23825,16.0007
2001-10-20,17.6564,92.689,10.3991,9.41991,26.0795,13.8134,13.3116,11.8223,100.602,18.783,82.3766,26.2183,111.349,6.84,28.768,12.8729,34.8899,16.8877,43.1444,165.193,11.9842,24.4918,9.90762,15.8208,7.37039,78.5018,18.6438,18.7794,22.0028,18.0631,34.1764,14.0836,23.0367,90.472,8.4637,168.004,150.396,14.5926,16.3559,15.4916,19.0221,10.7412,35.9868,36.8838,13.0815,21.2151,15.0872,13.0962,6.23825,16.0007
2001-10-21,17.6564,92.689,10.3991,9.41991,26.0795,13.8134,13.3116,11.8223,100.602,18.783,82.3766,26.2183,111.349,6.84,28.768,12.8729,34.8899,16.8877,43.1444,165.193,11.9842,24.4918,9.90762,15.8208,7.37039,78.5018,18.6438,18.7794,22.0028,18.0631,34.1764,14.0836,23.0367,90.472,8.4637,168.004,150.396,14.5926,16.3559,15.4916,19.0221,10.7412,35.9868,36.8838,13.0815,21.2151,15.0872,13.0962,6.23825,16.0007
2001-10-22,17.6564,92.742,10.3877,9.47997,26.483,13.9869,13.4726,11.9087,100.624,18.8699,82.387,26.3438,112.333,6.79,28.7521,12.9558,34.8899,16.8905,43.8872,165.22,11.9946,24.1795,10.025,15.8081,7.46101,79.8607,18.6468,18.7816,21.702,18.3162,34.1952,14.1337,23.3847,91.6307,8.48677,170.098,149.794,14.5953,16.3559,15.4916,19.2407,10.7538,36.5204,36.896,13.2802,20.9145,15.2651,12.9093,6.25905,16.0984
2001-10-23,17.6564,92.5302,10.3763,9.37986,26.3569,13.8785,13.4122,11.9087,100.647,19.2017,82.3344,26.2792,111.964,6.87,28.697,12.9227,34.8899,16.8933,43.8023,164.985,12.0881,24.2142,9.95165,15.7807,7.60198,79.6754,18.6322,18.7449,21.702,18.1971,34.1764,14.3673,23.403,90.6503,8.55595,169.47,149.734,14.5824,16.3325,15.4774,19.2407,10.7538,36.4018,36.8315,13.243,20.8859,15.224,12.9226,6.31103,16.074
2001-10-24,17.6564,92.6361,10.3763,9.40989,26.3695,13.8785,13.4424,11.926,100.669,19.3359,82.3447,26.1907,111.718,6.87,28.7007,12.8729,35.0097,16.9606,43.5688,165.537,12.1919,23.9367,9.96633,15.797,7.68253,80.1695,18.6705,18.7471,21.4764,18.2418,34.1011,14.4174,23.4213,90.7394,8.67126,167.376,148.951,14.616,16.3325,15.4491,19.2771,10.779,36.4216,36.8356,13.2802,20.6854,15.2377,12.7891,6.40461,16.0007
2001-10-25,17.6564,92.598,10.4332,9.51,26.7352,14.1387,13.6939,11.926,101.135,19.17,82.355,26.1736,111.964,6.89,28.7044,12.8895,35.0697,16.9634,44.1206,165.826,12.1712,24.0234,10.1571,15.8136,7.64225,81.4665,18.6911,18.7753,21.5365,18.4949,33.9506,14.3173,23.7509,91.7199,8.68279,170.831,149.734,14.6495,16.3559,15.5482,19.4958,10.779,36.9354,36.8739,13.5039,20.6998,15.4702,12.8292,6.415,16.0007
2001-10-26,17.6564,92.598,10.4674,9.58007,26.8361,14.2797,13.8348,11.926,101.306,19.3596,82.3654,26.1091,111.349,6.84,28.7155,12.8231,35.1296,16.9662,44.2267,166.038,12.2023,23.9714,10.2159,15.8044,7.67246,81.59,18.7003,18.769,21.5065,18.4652,33.9882,14.4508,23.8791,92.2547,8.71739,172.193,149.192,14.6419,16.3793,15.5907,19.6051,10.8042,37.133,36.8778,13.6032,20.6998,15.5523,12.8158,6.4462,15.9519
2001-10-27,17.6564,92.598,10.4674,9.58007,26.8361,14.2797,13.8348,11.926,101.306,19.3596,82.3654,26.1091,111.349,6.84,28.7155,12.8231,35.1296,16.9662,44.2267,166.038,12.2023,23.9714,10.2159,15.8044,7.67246,81.59,18.7003,18.769,21.5065,18.4652,33.9882,14.4508,23.8791,92.2547,8.71739,172.193,149.192,14.6419,16.3793,15.5907,19.6051,10.8042,37.133,36.8778,13.6032,20.6998,15.5523,12.8158,6.4462,15.9519
2001-10-28,17.6564,92.598,10.4674,9.58007,26.8361,14.2797,13.8348,11.926,101.306,19.3596,82.3654,26.1091,111.349,6.84,28.7155,12.8231,35.1296,16.9662,44.2267,166.038,12.2023,23.9714,10.2159,15.8044,7.67246,81.59,18.7003,18.769,21.5065,18.4652,33.9882,14.4508,23.8791,92.2547,8.71739,172.193,149.192,14.6419,16.3793,15.5907,19.6051,10.8042,37.133,36.8778,13.6032,20.6998,15.5523,12.8158,6.4462,15.9519
2001-10-29,17.6564,92.8108,10.3877,9.42992,26.2056,13.9652,13.5631,11.9087,100.735,19.1069,82.3758,25.5688,109.997,6.8,28.6996,12.5577,35.1296,17.0335,42.8473,166.328,12.1712,24.2142,9.99569,15.8062,7.59191,78.996,18.721,18.7712,21.5816,18.0333,33.8753,14.3673,23.4579,90.472,8.71739,170.255,149.011,14.66,16.4261,15.5907,19.3865,10.8269,36.303,36.8553,13.3175,20.7857,15.2651,12.936,6.415,15.6343
2001-10-30,17.6564,92.8108,10.3421,9.26975,25.7516,13.7267,13.3216,11.9087,99.7197,18.7672,82.386,25.7184,110.243,6.7,28.7229,12.6075,35.1296,17.0363,42.1682,166.617,12.0258,24.1622,9.84891,15.8228,7.36033,77.6989,18.7592,18.7864,21.5365,17.661,33.8565,14.117,23.0001,88.7784,8.56748,169.208,148.289,14.6627,16.4027,15.5482,19.0949,10.8142,35.6675,36.8592,13.0691,20.7284,15.0599,12.9226,6.29024,15.6831
2001-10-31,18.9391,93.2898,10.3763,9.40989,25.7516,13.8893,13.4826,11.926,99.9146,18.8541,82.7311,25.7553,111.103,6.57,28.8246,12.8014,35.5433,17.1906,42.2743,168.087,12.0881,24.3356,9.98101,15.8834,7.4006,77.7607,18.815,18.9053,21.702,17.6759,33.8565,14.1003,23.2015,88.6001,8.60208,168.842,149.613,14.7736,16.391,15.5482,19.2043,10.8523,35.6872,36.966,13.1312,20.9002,15.1146,13.0428,6.33183,15.7809
2001-11-01,18.9391,92.9173,10.456,9.51,26.3443,14.1062,13.6738,11.926,100.085,19.0674,83.0571,25.5944,110.735,6.69,28.9661,12.7176,35.4827,17.2583,43.2929,168.51,12.2023,24.6652,10.1278,15.9733,7.44088,79.4901,18.8005,19.0248,22.0028,18.078,33.9318,14.2505,23.5495,90.1154,8.6482,170.674,152.684,14.8075,16.3674,15.6332,19.4593,10.8523,36.4583,37.1076,13.3548,21.2008,15.3198,13.2163,6.39421,15.6587
2001-11-02,18.9391,92.4915,10.4674,9.53002,26.42,14.0845,13.6436,11.926,100.106,19.0753,82.9411,25.5055,109.506,6.73,28.9186,12.5668,35.4222,17.1307,43.5476,167.537,12.2646,24.4918,10.0837,15.9348,7.44088,79.6754,18.7571,18.9797,21.8223,18.1673,33.9318,14.3006,23.6594,90.472,8.69432,170.203,151.29,14.7068,16.391,15.6048,19.4958,10.8523,36.6165,37.0774,13.3921,21.0433,15.3745,13.1095,6.415,15.5854
2001-11-03,18.9391,92.4915,10.4674,9.53002,26.42,14.0845,13.6436,11.926,100.106,19.0753,82.9411,25.5055,109.506,6.73,28.9186,12.5668,35.4222,17.1307,43.5476,167.537,12.2646,24.4918,10.0837,15.9348,7.44088,79.6754,18.7571,18.9797,21.8223,18.1673,33.9318,14.3006,23.6594,90.472,8.69432,170.203,151.29,14.7068,16.391,15.6048,19.4958,10.8523,36.6165,37.0774,13.3921,21.0433,15.3745,13.1095,6.415,15.5854
2001-11-04,18.9391,92.4915,10.4674,9.53002,26.42,14.0845,13.6436,11.926,100.106,19.0753,82.9411,25.5055,109.506,6.73,28.9186,12.5668,35.4222,17.1307,43.5476,167.537,12.2646,24.4918,10.0837,15.9348,7.44088,79.6754,18.7571,18.9797,21.8223,18.1673,33.9318,14.3006,23.6594,90.472,8.69432,170.203,151.29,14.7068,16.391,15.6048,19.4958,10.8523,36.6165,37.0774,13.3921,21.0433,15.3745,13.1095,6.415,15.5854
2001-11-05,18.9391,93.1833,10.4902,9.69019,26.7983,14.2254,13.7744,11.9951,100.127,19.3438,82.9514,25.8244,111.472,6.77,28.9225,12.7344,35.5433,17.1977,44.2055,167.96,12.4412,24.5264,10.1865,15.9514,7.58184,80.9724,18.7953,18.982,21.8524,18.4354,33.8565,14.5008,24.0622,91.9873,8.86729,170.936,151.048,14.7873,16.391,15.6473,19.7144,10.8649,37.091,37.0905,13.5784,21.072,15.566,13.1496,6.53977,15.7809
2001-11-06,18.9391,93.343,10.5244,9.80031,27.1892,14.3556,13.9253,12.0297,100.595,19.4307,83.088,25.9513,112.087,6.8,28.946,12.7846,35.5433,17.1999,44.9058,168.383,12.4412,24.8213,10.3186,15.9532,7.63218,82.1459,18.816,19.0243,22.108,18.6737,33.9694,14.5676,24.3186,93.146,8.87882,171.931,152.684,14.8056,16.391,15.7323,19.8602,10.8649,37.6644,37.1291,13.7523,21.3296,15.7575,13.3365,6.56056,15.8541
2001-11-07,18.9391,94.0348,10.5585,9.7002,27.1262,14.3339,13.9455,12.1334,100.765,19.4149,83.3509,26.3183,113.439,6.74,29.0482,12.9857,35.6038,17.2669,44.9271,169.069,12.41,24.7693,10.2746,16.0138,7.64225,82.0224,18.8191,19.1056,22.0178,18.629,34.007,14.5676,24.4285,93.146,8.86729,170.988,151.957,14.9016,16.4618,15.6898,19.7509,10.8903,37.6446,37.2021,13.7647,21.2437,15.7575,13.2697,6.55017,16.074
2001-11-08,18.9391,93.9816,10.5585,9.67017,27.2018,14.2688,13.875,12.1852,101.681,19.6519,83.3611,26.3493,113.93,6.78,29.052,13.0192,35.7249,17.2042,45.0332,168.542,12.5762,24.8907,10.2305,16.0156,7.70267,81.8989,18.787,19.0949,22.108,18.7034,33.9129,14.6844,24.3369,92.8786,8.99413,171.093,152.684,14.8705,16.5799,15.7465,19.7873,10.9665,37.7039,37.2064,13.6778,21.344,15.6754,13.3231,6.62295,16.1717
