Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,41.950001,42.119999,40.139999,40.509998,40.234299,15768100
2021-01-05,40.060001,41.840000,40.040001,41.660000,41.376472,18045800
2021-01-06,41.919998,43.849998,41.860001,42.980000,42.687485,22694900
2021-01-07,43.980000,43.980000,42.959999,43.320000,43.025169,13625700
2021-01-08,43.310001,43.490002,42.320000,43.060001,42.766949,18426200
2021-01-11,43.020000,45.279999,42.630001,45.009998,44.703671,25864100
2021-01-12,46.299999,48.950001,45.650002,47.820000,47.494549,63889300
2021-01-13,50.779999,50.970001,48.060001,48.730000,48.398350,49229700
2021-01-14,49.500000,51.869999,49.330002,51.529999,51.179298,36839800
2021-01-15,51.299999,51.400002,49.259998,49.970001,49.629913,25293700
2021-01-19,53.689999,55.139999,52.259998,54.840000,54.466770,64144000
2021-01-20,56.230000,56.599998,54.849998,55.860001,55.479828,47428500
2021-01-21,56.330002,56.970001,54.759998,55.080002,54.705143,39843100
2021-01-22,54.500000,55.770000,54.270000,55.400002,55.022964,23895600
2021-01-25,54.950001,55.160000,51.020000,53.389999,53.026638,39844200
2021-01-26,53.389999,53.590000,51.810001,52.040001,51.685829,21648200
2021-01-27,50.799999,50.860001,48.709999,49.340000,49.004204,38315200
2021-01-28,49.880001,53.000000,49.560001,51.040001,50.692635,37573400
2021-01-29,50.700001,51.779999,49.959999,50.680000,50.335083,26466800
2021-02-01,51.459999,51.950001,50.439999,51.509998,51.159431,21451300
2021-02-02,52.299999,52.980000,51.959999,52.720001,52.361202,20457400
2021-02-03,53.299999,55.049999,53.189999,54.250000,53.880783,30706500
2021-02-04,53.340000,54.560001,52.970001,54.130001,53.761600,19243300
2021-02-05,54.820000,55.049999,54.150002,54.410000,54.039696,17250200
2021-02-08,56.000000,57.049999,55.669998,56.880001,56.492889,26990000
2021-02-09,56.540001,56.939999,55.740002,56.060001,55.678471,25168800
2021-02-10,55.610001,55.689999,52.509998,54.880001,54.506500,55329800
2021-02-11,53.610001,53.799999,52.349998,53.500000,53.135891,29871400
2021-02-12,53.000000,54.189999,52.959999,53.599998,53.235210,15317400
2021-02-16,53.709999,53.990002,53.220001,53.459999,53.096165,18541600
2021-02-17,52.840000,53.330002,52.080002,52.889999,52.530045,13989700
2021-02-18,52.560001,52.619999,51.599998,52.160000,51.805008,17615900
2021-02-19,52.500000,53.290001,52.220001,52.570000,52.212223,15354400
2021-02-22,52.000000,52.930000,51.880001,51.980000,51.626232,14501300
2021-02-23,51.000000,51.380001,49.349998,51.110001,50.762157,21202700
2021-02-24,51.950001,53.209999,51.290001,52.900002,52.539978,18375000
2021-02-25,52.700001,52.930000,50.549999,50.599998,50.255627,20628900
2021-02-26,50.869999,51.730000,49.919998,51.330002,50.980663,17125100
2021-03-01,52.410000,52.820000,51.820000,52.540001,52.182426,15385300
2021-03-02,52.599998,55.290001,52.189999,54.110001,53.741737,36267200
2021-03-03,54.500000,54.880001,52.660000,52.669998,52.311539,19667200
2021-03-04,52.990002,54.180000,50.250000,51.830002,51.477261,26231900
2021-03-05,52.590000,53.990002,50.480000,53.750000,53.384186,25190000
2021-03-08,54.290001,56.200001,53.740002,54.980000,54.605816,24450500
2021-03-09,55.360001,55.430000,54.029999,54.650002,54.278065,17902200
2021-03-10,55.000000,56.950001,54.880001,56.830002,56.443233,22760600
2021-03-11,56.869999,57.169998,55.939999,56.330002,55.946636,20244700
2021-03-12,56.000000,59.619999,55.700001,59.259998,58.856686,29829600
2021-03-15,59.310001,59.310001,57.209999,57.939999,57.545673,19660100
2021-03-16,58.360001,58.570000,56.799999,57.119999,56.731251,16177000
2021-03-17,57.240002,60.119999,57.150002,60.049999,59.641312,23746200
2021-03-18,60.060001,62.240002,58.880001,59.270000,58.866619,34798000
2021-03-19,59.340000,60.320000,58.180000,59.820000,59.412876,23346200
2021-03-22,58.750000,58.930000,56.509998,58.099998,57.704586,30094900
2021-03-23,56.990002,57.759998,55.709999,56.160000,55.777786,21280800
2021-03-24,56.680000,57.480000,55.709999,55.810001,55.430172,20567200
2021-03-25,54.599998,56.820000,54.250000,56.599998,56.214790,16178500
2021-03-26,57.009998,57.340000,55.349998,56.520000,56.135338,16358900
2021-03-29,56.080002,57.200001,55.740002,55.939999,55.559284,16058400
2021-03-30,56.599998,58.630001,56.400002,58.509998,58.111790,19606800
2021-03-31,58.279999,58.580002,57.270000,57.459999,57.068939,20761300
2021-04-01,57.919998,58.220001,57.040001,57.799999,57.406624,17783600
2021-04-05,59.000000,61.189999,58.750000,61.040001,60.624577,24633000
2021-04-06,60.500000,63.439999,60.439999,61.939999,61.518448,39518700
2021-04-07,61.860001,61.869999,60.689999,60.830002,60.416008,17167900
2021-04-08,60.360001,60.750000,58.810001,60.090000,59.681042,19016300
2021-04-09,59.560001,60.380001,59.419998,60.160000,59.750565,12182300
2021-04-12,60.200001,60.290001,59.290001,59.660000,59.253967,10231000
2021-04-13,59.230000,59.540001,57.889999,58.490002,58.091930,17416600
2021-04-14,58.590000,59.650002,58.250000,58.480000,58.082001,14618100
2021-04-15,59.450001,59.529999,58.369999,58.610001,58.211113,14395700
2021-04-16,59.009998,59.310001,58.279999,58.709999,58.310432,11087300
2021-04-19,58.570000,58.740002,57.230000,57.880001,57.486080,12262500
2021-04-20,57.119999,57.279999,54.919998,55.770000,55.390442,23736100
2021-04-21,55.279999,57.500000,54.709999,57.490002,57.098736,14648700
2021-04-22,57.540001,57.799999,56.130001,56.660000,56.274387,15822200
2021-04-23,56.770000,57.740002,56.430000,57.529999,57.138462,10803300
2021-04-26,57.860001,58.580002,57.660000,58.209999,57.813835,11553900
2021-04-27,58.270000,59.099998,58.020000,58.970001,58.568665,9293500
2021-04-28,59.000000,59.000000,58.270000,58.549999,58.151520,10485200
2021-04-29,57.740002,57.750000,55.689999,56.570000,56.184998,21315600
2021-04-30,56.180000,57.340000,56.090000,57.220001,56.830578,15348300
2021-05-03,57.599998,58.340000,56.709999,57.150002,56.761051,11585100
2021-05-04,56.549999,56.590000,54.820000,55.340000,54.963367,22262300
2021-05-05,57.090000,57.889999,56.330002,57.580002,57.188126,26805500
2021-05-06,57.430000,58.770000,57.430000,58.720001,58.320366,20108100
2021-05-07,58.000000,59.049999,57.270000,58.990002,58.588528,15480500
2021-05-10,59.000000,59.580002,57.360001,57.410000,57.019279,14591600
2021-05-11,56.150002,56.750000,54.869999,55.730000,55.350712,22773200
2021-05-12,55.540001,55.709999,53.520000,53.759998,53.394115,19348700
2021-05-13,54.430000,55.509998,54.130001,54.599998,54.228405,13308600
2021-05-14,55.119999,56.040001,55.009998,56.000000,55.618877,11313000
2021-05-17,55.840000,56.119999,55.189999,56.040001,55.658604,11041000
2021-05-18,56.230000,56.810001,55.849998,55.889999,55.509621,11464400
2021-05-19,55.000000,55.619999,54.119999,55.529999,55.152073,11693700
2021-05-20,55.919998,56.040001,55.189999,55.509998,55.132210,11504000
2021-05-21,56.009998,58.779999,55.770000,56.720001,56.333981,15150900
2021-05-24,57.049999,57.200001,56.320000,56.599998,56.214790,8943000
2021-05-25,56.869999,58.169998,56.709999,56.759998,56.373699,16362200
2021-05-26,56.970001,58.169998,56.770000,58.080002,57.684723,14242700
2021-05-27,60.000000,60.720001,59.209999,59.770000,59.363220,33843800
2021-05-28,59.880001,59.990002,58.590000,59.310001,58.906349,12668100
2021-06-01,59.990002,60.250000,59.250000,59.650002,59.244034,10429000
2021-06-02,60.259998,60.259998,59.130001,59.650002,59.244034,11975400
2021-06-03,61.570000,63.680000,60.709999,63.459999,63.028103,38547800
2021-06-04,63.570000,63.880001,62.389999,63.369999,62.938717,21072300
2021-06-07,63.980000,64.300003,62.630001,63.230000,62.799671,15549700
2021-06-08,63.020000,63.970001,62.430000,63.919998,63.484974,13027200
2021-06-09,63.950001,64.160004,62.689999,62.770000,62.342800,14371300
2021-06-10,62.830002,63.049999,61.169998,61.340000,60.922535,16141900
2021-06-11,61.360001,62.009998,61.160000,61.490002,61.071514,10205000
2021-06-14,61.470001,61.639999,60.310001,60.790001,60.376278,15443300
2021-06-15,60.680000,61.110001,59.980000,60.810001,60.396145,10737000
2021-06-16,62.459999,63.090000,61.200001,61.759998,61.339672,31080000
2021-06-17,61.820000,62.400002,59.360001,60.080002,59.671112,19712100
2021-06-18,59.279999,59.590000,58.410000,58.759998,58.360088,25602800
2021-06-21,59.750000,59.750000,58.820000,59.299999,58.896416,12276900
2021-06-22,59.540001,59.599998,59.020000,59.240002,58.836826,8928500
2021-06-23,59.849998,60.430000,59.459999,60.119999,59.710835,11527900
2021-06-24,60.389999,60.500000,59.759998,60.040001,59.631378,14445300
2021-06-25,60.290001,60.580002,60.020000,60.299999,59.889610,14255100
2021-06-28,60.310001,60.380001,58.430000,58.639999,58.240910,17152700
2021-06-29,59.200001,59.549999,58.700001,58.830002,58.429619,12171800
2021-06-30,58.740002,59.470001,58.610001,59.169998,58.767303,12330500
2021-07-01,59.439999,59.730000,58.779999,59.110001,58.707710,11752100
2021-07-02,59.110001,59.320000,58.520000,58.959999,58.558731,9689700
2021-07-06,58.919998,58.930000,57.009998,57.459999,57.068939,16155600
2021-07-07,57.340000,57.400002,56.130001,56.590000,56.204861,13077600
2021-07-08,55.299999,56.590000,54.860001,56.060001,55.678471,14087400
2021-07-09,58.799999,58.919998,57.889999,58.759998,58.360088,24361300
2021-07-12,58.560001,59.169998,57.820000,58.970001,58.568665,14513200
2021-07-13,59.040001,59.259998,58.259998,58.730000,58.330296,14604200
2021-07-14,58.889999,59.360001,57.709999,58.000000,57.605263,12520500
2021-07-15,57.119999,57.689999,56.590000,56.950001,56.562412,12103400
