Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
NEWR,NEW RELIC INC,Information Technology,Equity,"5,013,038.80",0.05,"5,013,038.80","69,260.00",72.38,United States,New York Stock Exchange Inc.,USD,1,USD,-
IAC,IAC INC,Communication,Equity,"5,009,479.02",0.05,"5,009,479.02","98,982.00",50.61,United States,NASDAQ,USD,1,USD,-
PCOR,PROCORE TECHNOLOGIES INC,Information Technology,Equity,"4,917,559.30",0.05,"4,917,559.30","92,210.00",53.33,United States,New York Stock Exchange Inc.,USD,1,USD,-
AVT,AVNET INC,Information Technology,Equity,"4,796,536.00",0.05,"4,796,536.00","118,025.00",40.64,United States,NASDAQ,USD,1,USD,-
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,"4,773,372.76",0.05,"4,773,372.76","280,292.00",17.03,United States,NASDAQ,USD,1,USD,-
GFS,GLOBALFOUNDRIES INC,Information Technology,Equity,"4,751,599.10",0.05,"4,751,599.10","81,910.00",58.01,United States,NASDAQ,USD,1,USD,-
IPGP,IPG PHOTONICS CORP,Information Technology,Equity,"4,704,124.80",0.04,"4,704,124.80","42,456.00",110.8,United States,NASDAQ,USD,1,USD,-
S,SENTINELONE INC CLASS A,Information Technology,Equity,"4,252,553.52",0.04,"4,252,553.52","249,563.00",17.04,United States,New York Stock Exchange Inc.,USD,1,USD,-
AYX,ALTERYX INC CLASS A,Information Technology,Equity,"3,982,468.14",0.04,"3,982,468.14","78,057.00",51.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
KD,KYNDRYL HOLDINGS INC,Information Technology,Equity,"3,703,509.67",0.04,"3,703,509.67","260,627.00",14.21,United States,New York Stock Exchange Inc.,USD,1,USD,-
CFLT,CONFLUENT INC CLASS A,Information Technology,Equity,"3,647,841.28",0.03,"3,647,841.28","158,464.00",23.02,United States,NASDAQ,USD,1,USD,-
NCR,NCR CORP,Information Technology,Equity,"3,636,380.57",0.03,"3,636,380.57","166,883.00",21.79,United States,New York Stock Exchange Inc.,USD,1,USD,-
DNB,DUN BRADST HLDG INC,Industrials,Equity,"3,526,962.02",0.03,"3,526,962.02","320,051.00",11.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
DV,DOUBLEVERIFY HOLDINGS INC,Information Technology,Equity,"3,275,166.54",0.03,"3,275,166.54","109,391.00",29.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
RNG,RINGCENTRAL INC CLASS A,Information Technology,Equity,"3,097,571.40",0.03,"3,097,571.40","111,745.00",27.72,United States,New York Stock Exchange Inc.,USD,1,USD,-
ALGM,ALLEGRO MICROSYSTEMS INC,Information Technology,Equity,"3,081,949.64",0.03,"3,081,949.64","86,669.00",35.56,United States,NASDAQ,USD,1,USD,-
PEGA,PEGASYSTEMS INC,Information Technology,Equity,"2,388,324.92",0.02,"2,388,324.92","52,804.00",45.23,United States,NASDAQ,USD,1,USD,-
NCNO,NCINO INC,Information Technology,Equity,"2,246,997.00",0.02,"2,246,997.00","90,060.00",24.95,United States,NASDAQ,USD,1,USD,-
CCCS,CCC INTELLIGENT SOLUTIONS HOLDINGS,Information Technology,Equity,"1,977,896.96",0.02,"1,977,896.96","226,304.00",8.74,United States,NASDAQ,USD,1,USD,-
PYCR,PAYCOR HCM INC,Information Technology,Equity,"1,843,156.52",0.02,"1,843,156.52","78,499.00",23.48,United States,NASDAQ,USD,1,USD,-
JAMF,JAMF HOLDING CORP,Information Technology,Equity,"1,529,225.88",0.01,"1,529,225.88","83,382.00",18.34,United States,NASDAQ,USD,1,USD,-
INFA,INFORMATICA INC CLASS A,Information Technology,Equity,"768,675.84",0.01,"768,675.84","50,044.00",15.36,United States,New York Stock Exchange Inc.,USD,1,USD,-
TWKS,THOUGHTWORKS HOLDING INC,Information Technology,Equity,"679,102.06",0.01,"679,102.06","111,146.00",6.11,United States,NASDAQ,USD,1,USD,-
WFFUT,CASH COLLATERAL USD WFFUT,Cash and/or Derivatives,Cash Collateral and Margins,"642,000.00",0.01,"642,000.00","642,000.00",100,United States,-,USD,1,USD,23-Aug-17
DH,DEFINITIVE HEALTHCARE CORP CLASS A,Health Care,Equity,"468,729.32",0,"468,729.32","43,684.00",10.73,United States,NASDAQ,USD,1,USD,-
XASM3,E-MINI S&P COMM SVS SEL SEC JUN 23,Cash and/or Derivatives,Futures,0,0,"1,874,400.00",24,312.4,-,Chicago Mercantile Exchange,USD,1,USD,-
IXTM3,EMINI TECHNOLOGY SELECT SECTOR JUN,Cash and/or Derivatives,Futures,0,0,"8,010,950.00",53,"1,511.50",-,Chicago Mercantile Exchange,USD,1,USD,-
USD,USD CASH,Cash and/or Derivatives,Cash,"-2,301,397.84",-0.02,"-2,301,397.84","-2,301,398.00",100,United States,-,USD,1,USD,-
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
