"date","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","mkt_rf","smb","hml","rmw","cma","rf"
"199001","-0.0872488542240814","-0.10880827966136","-0.0975512766127212","-0.116986558674192","0.0972221368178325","-0.244897501888629","-0.172200639294984","-0.0695360585938362","-0.0304347680441821","-0.0599995114774976",-0.0785,-0.0131,0.0085,-0.0117,0.0135,0.0057
"199002","0.00322200392927319","0.0406984275607534","0.0516210573586564","0.0235935434186181","0.0189886275592195","0.0135104772967176","0.035460089657199","0.132593593664794","0.0666663339639331","0.0126581496872511",0.0111,0.0117,0.0064,-3e-04,-0.0066,0.0057
"199003","0.183822983747949","-0.156425178795654","0.0148395489645687","0.0661757858002772","0.0372668074621612","0.0400036808071005","0.0319643635135014","0.150943491021449","0.027173864144715","-0.0159577279000332",0.0183,0.0162,-0.0292,0.0204,-0.0102,0.0064
"199004","-0.0217349664450566","-0.158941117387275","-0.00436087032642829","0.0200659566109589","-0.0538931601272534","0.102561111960168","-0.0176806187390864","0.0218581779370925","-0.05082803859999","-0.0216210619914108",-0.0336,-0.0033,-0.0259,0.0178,-0.0098,0.0069
"199005","0.0505233179067286","0.244093494533635","0.167421529576139","0.183607454051061","0.221519510524096","0.406973732686955","0.0686499876109441","0.296790908916151","0.045325146381024","0.0746394417584935",0.0842,-0.0235,-0.0383,0.0157,-0.0168,0.0068
"199006","0.0848481151640845","0.170890225407656","-0.00581446328031254","-0.0121560836289463","-0.0259069496966798","0.140498610362136","-0.0770874912623645","-0.0474229656812687","-0.0514903349903402","-0.00260343318235445",-0.0109,0.0135,-0.0193,-0.0103,-0.0039,0.0063
"199007","-0.0614531596538908","-0.27027204056838","-0.0818294385446562","0.0225357308151415","-0.053191940315379","0.101449407143377","0.0266489496123716","-0.109760694401217","-0.0341291629715837","0.0835502163742243",-0.019,-0.0316,-3e-04,-0.0018,0.0321,0.0068
"199008","-0.116386038601197","-0.311111239800557","-0.129649758606753","-0.0688708106052709","-0.249999378179059","-0.0982907217686345","-0.0988502278899142","-0.00997486052869934","-0.159638843308737","-0.0253651952820563",-0.1015,-0.0387,0.0164,-0.0035,0.0296,0.0066
"199009","-0.216213162176822","-0.440857277358395","-0.11477370951682","-0.060629443685064","-0.00374584623956176","-0.0583945782512068","0.0688773201087172","-0.103321658200233","-0.114694921279255","-0.0200002984075296",-0.0612,-0.0374,0.0064,6e-04,0.0367,0.006
"199010","0.0603452418711494","-0.173082560945358","0.00569298250090955","0.136076543618493","0.00751986072112754","0.0930227470502729","0.057987925333717","-0.0329213034913749","-0.0794696702795681","0",-0.0192,-0.0512,0.001,0.0297,-0.003,0.0068
"199011","0.199113500088378","0.465119450201811","0.0947807333844317","0.0351666440869343","0.119401579642078","0.148938204833397","0.0114674008901066","0.218103855243967","-0.013513559148415","0.0473034599012381",0.0635,7e-04,-0.031,0.0065,-0.0474,0.0057
"199012","0.170068335752298","0","0.0188205767489293","0.00540492064325337","0.026667493108069","0.14814908010491","0.0158740274383198","0.0804196496893363","-0.0273979246019338","0.0222217275530023",0.0246,0.0067,-0.017,0.0273,-0.0189,0.006
"199101","0.290698125153438","0.142856256476121","0.0681242437960812","0.0483867692671405","0.188310904245379","0.182794593154791","-0.0512409718205676","0.119740996475948","0.0811290881754769","-0.00241515944185344",0.0469,0.0391,-0.016,0.0128,-0.0399,0.0052
"199102","0.0337017348910313","0","0.139722640114146","0.0743589362254771","0.0437171954705404","0.0954542668717209","0.0287080922524483","0.127166964499549","0.165178697387526","0.0819413492283583",0.0719,0.0394,-0.0058,-0.002,-0.0033,0.0048
"199103","0.187773285233518","0","-0.0354608603748561","0.0405794889971196","-0.020943027316337","0.302906421502679","0.0441856309291646","0.108330325544864","-0.00766358282392565","0.0612240024194377",0.0265,0.0383,-0.0139,-0.0053,-0.0106,0.0044
"199104","-0.191177489777531","0.0277806431297607","-0.0311459157312173","-0.0276502486096915","0.0534763662966544","0.00318360662286032","-0.0327239987715903","0.0648150006656494","0.0162737943060727","0.0170944564895188",-0.0028,0.0031,0.015,0.0062,0.0074,0.0053
"199105","-0.143267212201705","-0.189192330040674","0.00760014352128802","0.0853083041679925","0.131979130731829","0.244621568674296","-0.0304449714222175","0.145652181439711","0.134615411255091","-0.00973920759193192",0.0365,0.0014,-0.0052,0.02,-0.0243,0.0047
"199106","-0.117020494250608","0.133340716900986","-0.0387924404838438","-0.0438529939105117","-0.165919838947281","-0.0841833245754844","0.0338158223109559","0.0275138017285699","-0.0237288176980043","-0.00214608973282315",-0.0494,0.0024,0.0115,0.0179,0.0065,0.0042
